name,first_name,last_name,party,position,constituency,bio,birth_date,gender,political_orientation,education,career_history,key_policies,achievements,controversies,social_media,verified,is_active
Emmanuel Macron,Emmanuel,Macron,Renaissance,Président de la République,France,Président de la République française depuis 2017.,1977-12-21,male,center,"ENA, Sciences Po Paris","Banquier d'affaires, Ministre de l'Économie","[""Europe"",""Transformation numérique"",""Réformes économiques""]","[""Élection présidentielle 2017"",""Plan de relance""]","[""Gilets jaunes"",""Réforme des retraites""]","{""twitter"":""https://twitter.com/EmmanuelMacron""}",true,true
Gabriel Attal,Gabriel,Attal,Renaissance,Premier ministre,Hauts-de-Seine,Premier ministre français depuis janvier 2024.,1989-03-16,male,center,Sciences Po Paris,"Secrétaire d'État, Ministre de l'Éducation nationale","[""Éducation"",""Jeunesse"",""Réforme de l'État""]","[""Plus jeune Premier ministre"",""Réformes éducatives""]","[""Réforme du lycée professionnel""]","{""twitter"":""https://twitter.com/GabrielAttal""}",true,true
Marine Le Pen,Marine,Le Pen,Rassemblement National,Députée du Pas-de-Calais,Pas-de-Calais,"Présidente du Rassemblement National, candidate présidentielle.",1968-08-05,female,right,Université Paris II Panthéon-Assas,"Avocate, Présidente du RN","[""Immigration"",""Sécurité"",""Souveraineté""]","[""Finaliste présidentielle 2017 et 2022""]","[""Affaires judiciaires"",""Positions sur l'UE""]","{""twitter"":""https://twitter.com/MLP_officiel""}",true,true
Jean-Luc Mélenchon,Jean-Luc,Mélenchon,La France Insoumise,Député des Bouches-du-Rhône,Bouches-du-Rhône,Leader de La France Insoumise.,1951-08-19,male,left,Université de Franche-Comté,"Enseignant, Ministre délégué, Sénateur","[""VIe République"",""Écologie"",""Justice sociale""]","[""Création de LFI"",""Résultats électoraux""]","[""Perquisitions"",""Positions géopolitiques""]","{""twitter"":""https://twitter.com/JLMelenchon""}",true,true
Jordan Bardella,Jordan,Bardella,Rassemblement National,Président du Rassemblement National,Seine-Saint-Denis,"Président du Rassemblement National, député européen.",1995-09-13,male,right,Université Paris-Sorbonne,"Député européen, Vice-président du RN","[""Immigration"",""Souveraineté européenne"",""Économie""]","[""Présidence du RN"",""Député européen""]","[""Positions sur l'immigration""]","{""twitter"":""https://twitter.com/J_Bardella""}",true,true
Bruno Le Maire,Bruno,Le Maire,Renaissance,Ministre de l'Économie,,Ministre de l'Économie depuis 2017.,1969-04-15,male,center,"ENA, Sciences Po","Diplomate, Ministre de l'Agriculture","[""Relance économique"",""Industrie"",""Commerce""]","[""Gestion crise COVID"",""Plan de relance""]","[""Taxation des GAFA""]",{},true,true
Gérald Darmanin,Gérald,Darmanin,Renaissance,Ministre de l'Intérieur,Nord,Ministre de l'Intérieur depuis 2020.,1982-10-11,male,center,Université de Lille,"Maire de Tourcoing, Ministre des Comptes publics","[""Sécurité"",""Immigration"",""Laïcité""]","[""Réformes sécuritaires"",""Lutte contre le terrorisme""]","[""Affaires judiciaires"",""Positions sur l'immigration""]",{},true,true
Éric Dupond-Moretti,Éric,Dupond-Moretti,Renaissance,Garde des Sceaux,,Ministre de la Justice depuis 2020.,1961-04-20,male,center,Université de Lille,Avocat pénaliste,"[""Réforme de la justice"",""Lutte contre la récidive""]","[""Réforme du système pénitentiaire""]","[""Conflits avec les magistrats""]",{},true,true
Pap Ndiaye,Pap,Ndiaye,Renaissance,Ancien Ministre de l'Éducation nationale,,"Historien, ancien ministre de l'Éducation nationale.",1965-10-25,male,center,"ENS, Université de Virginie","Historien, Directeur du Musée de l'immigration","[""Éducation"",""Égalité des chances"",""Lutte contre les discriminations""]","[""Réformes éducatives"",""Travaux académiques""]","[""Polémiques sur ses positions""]",{},true,false
Catherine Colonna,Catherine,Colonna,Renaissance,Ministre de l'Europe et des Affaires étrangères,,"Diplomate, ministre des Affaires étrangères.",1956-01-19,female,center,Sciences Po Paris,"Ambassadrice, Directrice de cabinet","[""Diplomatie européenne"",""Relations internationales""]","[""Carrière diplomatique"",""Négociations internationales""]",[],{},true,true
